id,first_name,last_name,Class Level,Course
27,Marie,Parker,Sophomore,CIT 101
27,Marie,Parker,Sophomore,COMP 182 Lab
28,Billy,Knight,Senior,CIT 101 Lab
28,Billy,Knight,Senior,CIT 101
29,Lois,Harvey,Junior,COMP 182
29,Lois,Harvey,Junior,CIT 101 Lab
30,Jennifer,Gilbert,Junior,COMP 182 Lab
30,Jennifer,Gilbert,Junior,COMP 182
31,Amanda,Smith,Senior,CIT 101
31,Amanda,Smith,Senior,COMP 182 Lab
32,Gary,White,Freshman,CIT 101 Lab
32,Gary,White,Freshman,CIT 101
33,Deborah,Patterson,Sophomore,COMP 182
33,Deborah,Patterson,Sophomore,CIT 101 Lab
34,Lois,Knight,Senior,COMP 182 Lab
34,Lois,Knight,Senior,COMP 182
35,Gary,Garza,Junior,CIT 101
35,Gary,Garza,Junior,COMP 182 Lab
36,Todd,Hall,Sophomore,CIT 101 Lab
36,Todd,Hall,Sophomore,CIT 101
37,Patricia,Hicks,Senior,COMP 182
37,Patricia,Hicks,Senior,CIT 101 Lab
38,Amanda,Reynolds,Junior,COMP 182 Lab
38,Amanda,Reynolds,Junior,COMP 182
39,Ruby,Sanders,Junior,CIT 101
39,Ruby,Sanders,Junior,COMP 182 Lab
40,Brian,Fields,Senior,CIT 101 Lab
40,Brian,Fields,Senior,CIT 101
41,Joyce,Hart,Freshman,COMP 182
41,Joyce,Hart,Freshman,CIT 101 Lab
42,Nancy,Ruiz,Sophomore,COMP 182 Lab
42,Nancy,Ruiz,Sophomore,COMP 182
43,Charles,Knight,Senior,CIT 101
43,Charles,Knight,Senior,COMP 182 Lab
44,Diane,Austin,Junior,CIT 101 Lab
44,Diane,Austin,Junior,CIT 101
45,Henry,Jacobs,Sophomore,COMP 182
45,Henry,Jacobs,Sophomore,CIT 101 Lab
46,Teresa,Hansen,Senior,COMP 182 Lab
46,Teresa,Hansen,Senior,COMP 182
47,Eric,Campbell,Junior,CIT 101
47,Eric,Campbell,Junior,COMP 182 Lab
48,Antonio,Gutierrez,Junior,CIT 101 Lab
48,Antonio,Gutierrez,Junior,CIT 101
49,Henry,Wallace,Senior,COMP 182
49,Henry,Wallace,Senior,CIT 101 Lab
50,Ann,Gordon,Freshman,COMP 182 Lab
50,Ann,Gordon,Freshman,COMP 182
51,Wanda,Dunn,Sophomore,CIT 101
51,Wanda,Dunn,Sophomore,COMP 182 Lab
52,Heather,Armstrong,Senior,CIT 101 Lab
52,Heather,Armstrong,Senior,CIT 101
53,Jane,Lawson,Junior,COMP 182
53,Jane,Lawson,Junior,CIT 101 Lab
54,Alan,Howell,Sophomore,COMP 182 Lab
54,Alan,Howell,Sophomore,COMP 182
55,Matthew,Jordan,Senior,CIT 101
55,Matthew,Jordan,Senior,COMP 182 Lab
56,Kevin,Gilbert,Junior,CIT 101 Lab
56,Kevin,Gilbert,Junior,CIT 101
57,Annie,Murphy,Junior,COMP 182
57,Annie,Murphy,Junior,CIT 101 Lab
58,Billy,Armstrong,Senior,COMP 182 Lab
58,Billy,Armstrong,Senior,COMP 182
59,Sandra,Parker,Freshman,CIT 101
59,Sandra,Parker,Freshman,COMP 182 Lab
60,Jennifer,Lane,Sophomore,CIT 101 Lab
60,Jennifer,Lane,Sophomore,CIT 101
61,Ernest,Smith,Senior,COMP 182
61,Ernest,Smith,Senior,CIT 101 Lab
62,Timothy,Lawrence,Junior,COMP 182 Lab
62,Timothy,Lawrence,Junior,COMP 182
63,Terry,Perry,Sophomore,CIT 101
63,Terry,Perry,Sophomore,COMP 182 Lab
64,Louis,Bradley,Senior,CIT 101 Lab
64,Louis,Bradley,Senior,CIT 101
65,Matthew,Hudson,Junior,COMP 182
65,Matthew,Hudson,Junior,COMP 182 Lab
66,Janet,Wheeler,Junior,COMP 182 Lab
66,Janet,Wheeler,Junior,CIT 101
67,Anna,Chapman,Senior,CIT 101
67,Anna,Chapman,Senior,CIT 101 Lab
68,Peter,Rose,Freshman,CIT 101 Lab
68,Peter,Rose,Freshman,COMP 182
69,Aaron,Shaw,Sophomore,COMP 182
69,Aaron,Shaw,Sophomore,COMP 182 Lab
70,Benjamin,Ortiz,Senior,COMP 182 Lab
70,Benjamin,Ortiz,Senior,CIT 101
71,Sean,Perez,Junior,CIT 101
71,Sean,Perez,Junior,CIT 101 Lab
72,Robert,Stewart,Sophomore,CIT 101 Lab
72,Robert,Stewart,Sophomore,COMP 182
73,Beverly,Phillips,Senior,COMP 182
73,Beverly,Phillips,Senior,COMP 182 Lab
74,Sharon,Ramos,Junior,COMP 182 Lab
74,Sharon,Ramos,Junior,CIT 101
75,Ryan,Ramirez,Junior,CIT 101
75,Ryan,Ramirez,Junior,CIT 101 Lab
76,Elizabeth,Baker,Senior,CIT 101 Lab
76,Elizabeth,Baker,Senior,COMP 182
77,Albert,Thompson,Freshman,COMP 182
77,Albert,Thompson,Freshman,COMP 182 Lab
78,Scott,Knight,Sophomore,COMP 182 Lab
78,Scott,Knight,Sophomore,CIT 101
79,Thomas,Olson,Senior,CIT 101
79,Thomas,Olson,Senior,CIT 101 Lab
80,Catherine,Nguyen,Junior,CIT 101 Lab
80,Catherine,Nguyen,Junior,COMP 182
81,Mary,Reyes,Sophomore,COMP 182
81,Mary,Reyes,Sophomore,COMP 182 Lab
82,Anne,Harper,Senior,COMP 182 Lab
82,Anne,Harper,Senior,CIT 101
83,Thomas,Garcia,Junior,CIT 101
83,Thomas,Garcia,Junior,CIT 101 Lab
84,Bruce,Powell,Junior,CIT 101 Lab
84,Bruce,Powell,Junior,COMP 182
85,Chris,Burns,Senior,COMP 182
85,Chris,Burns,Senior,COMP 182 Lab
86,Victor,Stewart,Freshman,COMP 182 Lab
86,Victor,Stewart,Freshman,CIT 101
87,Sara,Shaw,Sophomore,CIT 101
87,Sara,Shaw,Sophomore,CIT 101 Lab
88,Raymond,Rice,Senior,CIT 101 Lab
88,Raymond,Rice,Senior,COMP 182
89,Christina,Nelson,Junior,COMP 182
89,Christina,Nelson,Junior,COMP 182 Lab
90,Rebecca,Anderson,Sophomore,COMP 182 Lab
90,Rebecca,Anderson,Sophomore,CIT 101
91,Joshua,Jenkins,Senior,CIT 101
91,Joshua,Jenkins,Senior,CIT 101 Lab
92,Sara,Barnes,Junior,CIT 101 Lab
92,Sara,Barnes,Junior,COMP 182
93,Lillian,Ford,Junior,COMP 182
93,Lillian,Ford,Junior,COMP 182 Lab
94,Lawrence,Howard,Senior,COMP 182 Lab
94,Lawrence,Howard,Senior,CIT 101
95,Debra,Franklin,Freshman,CIT 101
95,Debra,Franklin,Freshman,CIT 101 Lab
96,Marilyn,Garza,Sophomore,CIT 101 Lab
96,Marilyn,Garza,Sophomore,COMP 182
97,Benjamin,Wood,Senior,COMP 182
97,Benjamin,Wood,Senior,COMP 182 Lab
98,Russell,Adams,Junior,COMP 182 Lab
98,Russell,Adams,Junior,CIT 101
99,Theresa,Boyd,Sophomore,CIT 101
99,Theresa,Boyd,Sophomore,CIT 101 Lab
100,Keith,Cole,Senior,CIT 101 Lab
100,Keith,Cole,Senior,COMP 182
101,John,Gilbert,Junior,COMP 182
101,John,Gilbert,Junior,COMP 182 Lab
102,Judith,White,Junior,COMP 182 Lab
102,Judith,White,Junior,CIT 101
103,Bruce,Griffin,Senior,CIT 101
103,Bruce,Griffin,Senior,CIT 101 Lab
104,Johnny,Campbell,Freshman,CIT 101 Lab
104,Johnny,Campbell,Freshman,COMP 182
105,Melissa,Fisher,Sophomore,COMP 182
105,Melissa,Fisher,Sophomore,COMP 182 Lab
106,Bruce,Clark,Senior,COMP 182 Lab
106,Bruce,Clark,Senior,CIT 101
107,Deborah,Tucker,Junior,CIT 101
107,Deborah,Tucker,Junior,CIT 101 Lab
108,Robert,Hall,Sophomore,CIT 101 Lab
108,Robert,Hall,Sophomore,COMP 182
109,Randy,Simpson,Senior,COMP 182
109,Randy,Simpson,Senior,COMP 182 Lab
110,Jason,Bailey,Junior,COMP 182 Lab
110,Jason,Bailey,Junior,CIT 101
111,Albert,Patterson,Junior,CIT 101
111,Albert,Patterson,Junior,CIT 101 Lab
112,Earl,Patterson,Senior,CIT 101 Lab
112,Earl,Patterson,Senior,COMP 182
113,George,Grant,Freshman,COMP 182
113,George,Grant,Freshman,COMP 182 Lab
114,Benjamin,Green,Sophomore,COMP 182 Lab
114,Benjamin,Green,Sophomore,CIT 101
115,Beverly,Wheeler,Senior,CIT 101
115,Beverly,Wheeler,Senior,CIT 101 Lab
116,Ruby,Wagner,Junior,CIT 101 Lab
116,Ruby,Wagner,Junior,COMP 182
117,Gary,Lynch,Sophomore,COMP 182
117,Gary,Lynch,Sophomore,COMP 182 Lab
118,Daniel,Perez,Senior,COMP 182 Lab
118,Daniel,Perez,Senior,CIT 101
119,Jane,Wright,Junior,CIT 101
119,Jane,Wright,Junior,CIT 101 Lab
120,Gerald,Jacobs,Junior,CIT 101 Lab
120,Gerald,Jacobs,Junior,COMP 182
121,Amanda,Carroll,Senior,COMP 182
121,Amanda,Carroll,Senior,COMP 182 Lab
122,Louise,Kelley,Freshman,COMP 182 Lab
122,Louise,Kelley,Freshman,CIT 101
123,Wayne,Foster,Sophomore,CIT 101
123,Wayne,Foster,Sophomore,CIT 101 Lab
124,Roy,Gonzalez,Senior,CIT 101 Lab
124,Roy,Gonzalez,Senior,COMP 182
125,Bruce,Simmons,Junior,COMP 182
125,Bruce,Simmons,Junior,COMP 182 Lab
126,Andrew,Perkins,Sophomore,COMP 182 Lab
126,Andrew,Perkins,Sophomore,CIT 101
127,Steve,Reyes,Senior,CIT 101
127,Steve,Reyes,Senior,CIT 101 Lab
128,Martin,Garcia,Junior,CIT 101 Lab
128,Martin,Garcia,Junior,COMP 182
129,Maria,Thompson,Junior,COMP 182
129,Maria,Thompson,Junior,COMP 182 Lab
130,Keith,Wheeler,Senior,COMP 182 Lab
130,Keith,Wheeler,Senior,CIT 101
131,John,Russell,Freshman,CIT 101
131,John,Russell,Freshman,CIT 101 Lab
132,Janet,Parker,Sophomore,CIT 101 Lab
132,Janet,Parker,Sophomore,COMP 182
133,Carolyn,Myers,Senior,COMP 182
133,Carolyn,Myers,Senior,COMP 182 Lab
134,Russell,Bishop,Junior,COMP 182 Lab
134,Russell,Bishop,Junior,CIT 101
135,Shirley,Knight,Sophomore,CIT 101
135,Shirley,Knight,Sophomore,CIT 101 Lab
136,Clarence,Mcdonald,Senior,CIT 101 Lab
136,Clarence,Mcdonald,Senior,COMP 182
137,Peter,Howell,Junior,COMP 182
137,Peter,Howell,Junior,COMP 182 Lab
138,Sandra,Cruz,Junior,COMP 182 Lab
138,Sandra,Cruz,Junior,CIT 101
139,Ryan,Martin,Senior,CIT 101
139,Ryan,Martin,Senior,CIT 101 Lab
140,Helen,Black,Freshman,CIT 101 Lab
140,Helen,Black,Freshman,
141,Todd,Fowler,Sophomore,COMP 182
141,Todd,Fowler,Sophomore,COMP 182 Lab
142,Gregory,Russell,Senior,COMP 182 Lab
142,Gregory,Russell,Senior,CIT 101
143,Irene,Chavez,Junior,CIT 101
143,Irene,Chavez,Junior,CIT 101 Lab
144,Joan,Carr,Sophomore,CIT 101 Lab
144,Joan,Carr,Sophomore,COMP 182
145,Roy,Kelley,Senior,COMP 182
145,Roy,Kelley,Senior,COMP 182 Lab
146,Jessica,Richards,Junior,COMP 182 Lab
146,Jessica,Richards,Junior,CIT 101
147,Karen,Sullivan,Junior,CIT 101
147,Karen,Sullivan,Junior,CIT 101 Lab
148,James,White,Senior,CIT 101 Lab
148,James,White,Senior,COMP 182
149,Stephanie,Thompson,Freshman,COMP 182
149,Stephanie,Thompson,Freshman,COMP 182 Lab
150,George,Cole,Sophomore,COMP 182 Lab
150,George,Cole,Sophomore,CIT 101
151,Ruby,Kelly,Senior,CIT 101
151,Ruby,Kelly,Senior,CIT 101 Lab
152,Teresa,Hart,Junior,CIT 101 Lab
152,Teresa,Hart,Junior,COMP 182
153,Denise,Diaz,Sophomore,COMP 182
153,Denise,Diaz,Sophomore,COMP 182 Lab
154,Virginia,Anderson,Senior,COMP 182 Lab
154,Virginia,Anderson,Senior,CIT 101
155,Joan,Jackson,Junior,CIT 101
155,Joan,Jackson,Junior,CIT 101 Lab
156,Judith,Day,Junior,CIT 101 Lab
156,Judith,Day,Junior,COMP 182
157,Douglas,Roberts,Senior,COMP 182
157,Douglas,Roberts,Senior,COMP 182 Lab
158,Billy,Fox,Freshman,COMP 182 Lab
158,Billy,Fox,Freshman,CIT 101
159,Harry,Snyder,Sophomore,CIT 101
159,Harry,Snyder,Sophomore,CIT 101 Lab
160,Charles,Miller,Senior,CIT 101 Lab
160,Charles,Miller,Senior,COMP 182
161,Patrick,Ortiz,Junior,COMP 182
161,Patrick,Ortiz,Junior,COMP 182 Lab
162,Shawn,Dean,Sophomore,COMP 182 Lab
162,Shawn,Dean,Sophomore,CIT 101
163,Paula,Hunter,Senior,CIT 101
163,Paula,Hunter,Senior,CIT 101 Lab
164,Peter,Hudson,Junior,CIT 101 Lab
164,Peter,Hudson,Junior,COMP 182
165,Brian,Parker,Junior,COMP 182
165,Brian,Parker,Junior,COMP 182 Lab
166,Anna,Ward,Senior,COMP 182 Lab
166,Anna,Ward,Senior,CIT 101
167,Janet,Porter,Freshman,CIT 101
167,Janet,Porter,Freshman,CIT 101 Lab
168,Jean,Roberts,Sophomore,CIT 101 Lab
168,Jean,Roberts,Sophomore,COMP 182
169,Nancy,Robertson,Senior,COMP 182
169,Nancy,Robertson,Senior,COMP 182 Lab
170,Lawrence,Andrews,Junior,COMP 182 Lab
170,Lawrence,Andrews,Junior,CIT 101
171,Terry,Fisher,Sophomore,CIT 101
171,Terry,Fisher,Sophomore,CIT 101 Lab
172,Joe,Hart,Senior,CIT 101 Lab
172,Joe,Hart,Senior,COMP 182
173,Betty,Rose,Junior,COMP 182
173,Betty,Rose,Junior,COMP 182 Lab
174,Steven,Sullivan,Junior,COMP 182 Lab
174,Steven,Sullivan,Junior,CIT 101
175,Richard,Clark,Senior,CIT 101
175,Richard,Clark,Senior,CIT 101 Lab
176,Sharon,Gordon,Freshman,CIT 101 Lab
176,Sharon,Gordon,Freshman,COMP 182
177,Ruth,Nichols,Sophomore,COMP 182
177,Ruth,Nichols,Sophomore,COMP 182 Lab
178,Norma,Dean,Senior,COMP 182 Lab
178,Norma,Dean,Senior,CIT 101
179,Thomas,Rice,Junior,CIT 101
179,Thomas,Rice,Junior,CIT 101 Lab
180,Jack,Walker,Sophomore,CIT 101 Lab
180,Jack,Walker,Sophomore,COMP 182
181,George,Foster,Senior,COMP 182
181,George,Foster,Senior,COMP 182 Lab
182,Diane,Patterson,Junior,COMP 182 Lab
182,Diane,Patterson,Junior,CIT 101
183,Carolyn,Williamson,Junior,CIT 101
183,Carolyn,Williamson,Junior,CIT 101 Lab
184,Ralph,Scott,Senior,CIT 101 Lab
184,Ralph,Scott,Senior,COMP 182
185,Daniel,Perkins,Freshman,COMP 182
185,Daniel,Perkins,Freshman,COMP 182 Lab
186,Donald,Woods,Sophomore,COMP 182 Lab
186,Donald,Woods,Sophomore,CIT 101
187,Larry,Scott,Senior,CIT 101
187,Larry,Scott,Senior,CIT 101 Lab
188,Louis,Russell,Junior,CIT 101 Lab
188,Louis,Russell,Junior,COMP 182
189,Matthew,Davis,Sophomore,COMP 182
189,Matthew,Davis,Sophomore,COMP 182 Lab
190,David,Wells,Senior,COMP 182 Lab
190,David,Wells,Senior,CIT 101
191,Howard,Cook,Junior,CIT 101
191,Howard,Cook,Junior,CIT 101 Lab
192,Shawn,Bryant,Junior,CIT 101 Lab
192,Shawn,Bryant,Junior,COMP 182
193,Bruce,Hayes,Senior,COMP 182
193,Bruce,Hayes,Senior,COMP 182 Lab
194,Jeremy,Richards,Freshman,COMP 182 Lab
194,Jeremy,Richards,Freshman,CIT 101
195,Shirley,Gomez,Sophomore,CIT 101
195,Shirley,Gomez,Sophomore,CIT 101 Lab
196,Irene,Crawford,Senior,CIT 101 Lab
196,Irene,Crawford,Senior,COMP 182
197,Daniel,Peters,Junior,COMP 182
197,Daniel,Peters,Junior,COMP 182 Lab
198,Clarence,Willis,Sophomore,COMP 182 Lab
198,Clarence,Willis,Sophomore,CIT 101
199,Phyllis,Mcdonald,Senior,CIT 101
199,Phyllis,Mcdonald,Senior,CIT 101 Lab
200,Kathleen,Hunter,Junior,CIT 101 Lab
200,Kathleen,Hunter,Junior,COMP 182
201,Sean,Elliott,Junior,COMP 182
201,Sean,Elliott,Junior,COMP 182 Lab
202,Evelyn,Davis,Senior,COMP 182 Lab
202,Evelyn,Davis,Senior,CIT 101
203,Terry,Lopez,Freshman,CIT 101
203,Terry,Lopez,Freshman,CIT 101 Lab
204,Kevin,Fisher,Sophomore,CIT 101 Lab
204,Kevin,Fisher,Sophomore,COMP 182
205,Jeremy,Harvey,Senior,COMP 182
205,Jeremy,Harvey,Senior,COMP 182 Lab
206,Harry,Vasquez,Junior,COMP 182 Lab
206,Harry,Vasquez,Junior,CIT 101
207,Eugene,Snyder,Sophomore,CIT 101
207,Eugene,Snyder,Sophomore,CIT 101 Lab
208,Billy,Edwards,Senior,CIT 101 Lab
208,Billy,Edwards,Senior,COMP 182
209,Annie,Lawson,Junior,COMP 182
209,Annie,Lawson,Junior,COMP 182 Lab
210,Anthony,Fields,Junior,COMP 182 Lab
210,Anthony,Fields,Junior,CIT 101
211,Irene,Perry,Senior,CIT 101
211,Irene,Perry,Senior,CIT 101 Lab
212,Jimmy,Ferguson,Freshman,CIT 101 Lab
212,Jimmy,Ferguson,Freshman,COMP 182
213,Ronald,Washington,Sophomore,COMP 182
213,Ronald,Washington,Sophomore,COMP 182 Lab
214,Kenneth,Rose,Senior,COMP 182 Lab
214,Kenneth,Rose,Senior,CIT 101
215,Diana,Garcia,Junior,CIT 101
215,Diana,Garcia,Junior,CIT 101 Lab
216,Gregory,Harris,Sophomore,CIT 101 Lab
216,Gregory,Harris,Sophomore,COMP 182 Lab
217,Anthony,Ross,Senior,COMP 182
217,Anthony,Ross,Senior,CIT 101
218,Heather,Elliott,Junior,COMP 182 Lab
218,Heather,Elliott,Junior,CIT 101 Lab
219,Philip,Oliver,Junior,CIT 101
219,Philip,Oliver,Junior,COMP 182
220,Wanda,Montgomery,Senior,CIT 101 Lab
220,Wanda,Montgomery,Senior,COMP 182 Lab
221,Russell,Price,Freshman,COMP 182
221,Russell,Price,Freshman,CIT 101
222,Doris,Butler,Sophomore,COMP 182 Lab
222,Doris,Butler,Sophomore,CIT 101 Lab
223,Bonnie,Rogers,Senior,CIT 101
223,Bonnie,Rogers,Senior,COMP 182
224,David,White,Junior,CIT 101 Lab
224,David,White,Junior,COMP 182 Lab
225,Craig,Gomez,Sophomore,COMP 182
225,Craig,Gomez,Sophomore,CIT 101
226,Bonnie,Simmons,Senior,COMP 182 Lab
226,Bonnie,Simmons,Senior,CIT 101 Lab
227,Bruce,Sanders,Junior,CIT 101
227,Bruce,Sanders,Junior,COMP 182
228,John,Palmer,Junior,CIT 101 Lab
228,John,Palmer,Junior,COMP 182 Lab
229,Kevin,Rivera,Senior,COMP 182
229,Kevin,Rivera,Senior,CIT 101
230,Sara,James,Freshman,COMP 182 Lab
230,Sara,James,Freshman,CIT 101 Lab
231,Victor,Parker,Sophomore,CIT 101
231,Victor,Parker,Sophomore,COMP 182
232,Clarence,Flores,Senior,CIT 101 Lab
232,Clarence,Flores,Senior,COMP 182 Lab
233,Bruce,Burke,Junior,COMP 182
233,Bruce,Burke,Junior,CIT 101
234,Kenneth,Dunn,Sophomore,COMP 182 Lab
234,Kenneth,Dunn,Sophomore,CIT 101 Lab
235,Harry,Henderson,Senior,CIT 101
235,Harry,Henderson,Senior,COMP 182
236,Eugene,Harvey,Junior,CIT 101 Lab
236,Eugene,Harvey,Junior,COMP 182 Lab
237,Nicholas,Armstrong,Junior,COMP 182
237,Nicholas,Armstrong,Junior,CIT 101
238,Evelyn,Jordan,Senior,COMP 182 Lab
238,Evelyn,Jordan,Senior,CIT 101 Lab
239,Judy,Ruiz,Freshman,CIT 101
239,Judy,Ruiz,Freshman,COMP 182
240,Karen,Chapman,Sophomore,CIT 101 Lab
240,Karen,Chapman,Sophomore,COMP 182 Lab
241,Amy,Allen,Senior,COMP 182
241,Amy,Allen,Senior,CIT 101
242,Matthew,Wallace,Junior,COMP 182 Lab
242,Matthew,Wallace,Junior,CIT 101 Lab
243,Jennifer,Carpenter,Sophomore,CIT 101
243,Jennifer,Carpenter,Sophomore,COMP 182
244,Ernest,Gordon,Senior,CIT 101 Lab
244,Ernest,Gordon,Senior,COMP 182 Lab
245,Kevin,Williams,Junior,COMP 182
245,Kevin,Williams,Junior,CIT 101
246,Deborah,Cunningham,Junior,COMP 182 Lab
246,Deborah,Cunningham,Junior,CIT 101 Lab
247,Andrew,Wallace,Senior,CIT 101
247,Andrew,Wallace,Senior,COMP 182
248,Harry,Brooks,Freshman,CIT 101 Lab
248,Harry,Brooks,Freshman,COMP 182 Lab
249,Johnny,Martin,Sophomore,COMP 182
249,Johnny,Martin,Sophomore,CIT 101
250,Annie,Bennett,Senior,COMP 182 Lab
250,Annie,Bennett,Senior,CIT 101 Lab
251,Anne,Chapman,Junior,CIT 101
251,Anne,Chapman,Junior,COMP 182
252,Lori,Franklin,Sophomore,CIT 101 Lab
252,Lori,Franklin,Sophomore,COMP 182 Lab
253,Alan,Rogers,Senior,COMP 182
253,Alan,Rogers,Senior,CIT 101
254,Heather,Stanley,Junior,COMP 182 Lab
254,Heather,Stanley,Junior,CIT 101 Lab
255,Jeremy,Henderson,Junior,CIT 101
255,Jeremy,Henderson,Junior,COMP 182
256,Ruby,Coleman,Senior,CIT 101 Lab
256,Ruby,Coleman,Senior,COMP 182 Lab
257,Ruth,Bowman,Freshman,COMP 182
257,Ruth,Bowman,Freshman,CIT 101
258,Denise,Webb,Sophomore,COMP 182 Lab
258,Denise,Webb,Sophomore,CIT 101 Lab
259,Jason,Kim,Senior,CIT 101
259,Jason,Kim,Senior,COMP 182
260,Raymond,Cole,Junior,CIT 101 Lab
260,Raymond,Cole,Junior,COMP 182 Lab
261,Ruby,Watkins,Sophomore,COMP 182
261,Ruby,Watkins,Sophomore,CIT 101
262,Evelyn,Young,Senior,COMP 182 Lab
262,Evelyn,Young,Senior,CIT 101 Lab
263,Karen,Brooks,Junior,CIT 101
263,Karen,Brooks,Junior,COMP 182
264,Andrew,Hudson,Junior,CIT 101 Lab
264,Andrew,Hudson,Junior,COMP 182 Lab
265,Maria,Garrett,Senior,COMP 182
265,Maria,Garrett,Senior,CIT 101
266,Jane,Ramos,Freshman,COMP 182 Lab
266,Jane,Ramos,Freshman,CIT 101 Lab
267,Joe,Hayes,Sophomore,CIT 101
267,Joe,Hayes,Sophomore,COMP 182
268,Robert,Crawford,Senior,CIT 101 Lab
268,Robert,Crawford,Senior,COMP 182 Lab
269,Frank,Cook,Junior,COMP 182
269,Frank,Cook,Junior,CIT 101
270,Kenneth,West,Sophomore,COMP 182 Lab
270,Kenneth,West,Sophomore,CIT 101 Lab
271,Pamela,Powell,Senior,CIT 101
271,Pamela,Powell,Senior,COMP 182
272,Bonnie,Garrett,Junior,CIT 101 Lab
272,Bonnie,Garrett,Junior,COMP 182 Lab
273,Nicole,Young,Junior,COMP 182
273,Nicole,Young,Junior,CIT 101
274,Diana,Andrews,Senior,COMP 182 Lab
274,Diana,Andrews,Senior,CIT 101 Lab
275,Sean,Cooper,Freshman,CIT 101
275,Sean,Cooper,Freshman,COMP 182
276,Dorothy,Dean,Sophomore,CIT 101 Lab
276,Dorothy,Dean,Sophomore,COMP 182 Lab
277,Nicholas,Snyder,Senior,COMP 182
277,Nicholas,Snyder,Senior,CIT 101
278,Margaret,Welch,Junior,COMP 182 Lab
278,Margaret,Welch,Junior,CIT 101 Lab
279,Daniel,Woods,Sophomore,CIT 101
279,Daniel,Woods,Sophomore,COMP 182
280,Aaron,Lopez,Senior,CIT 101 Lab
280,Aaron,Lopez,Senior,COMP 182 Lab
281,Donna,Adams,Junior,COMP 182
281,Donna,Adams,Junior,CIT 101
282,Rebecca,Olson,Junior,COMP 182 Lab
282,Rebecca,Olson,Junior,CIT 101 Lab
283,Brenda,Reynolds,Senior,CIT 101
283,Brenda,Reynolds,Senior,COMP 182
284,Terry,Ortiz,Freshman,CIT 101 Lab
284,Terry,Ortiz,Freshman,COMP 182 Lab
285,Dorothy,Morgan,Sophomore,COMP 182
285,Dorothy,Morgan,Sophomore,CIT 101
286,Gregory,Richards,Senior,COMP 182 Lab
286,Gregory,Richards,Senior,CIT 101 Lab
287,Linda,Cook,Junior,CIT 101
287,Linda,Cook,Junior,COMP 182
288,Rachel,Peterson,Sophomore,CIT 101 Lab
288,Rachel,Peterson,Sophomore,COMP 182 Lab
289,Benjamin,Ross,Senior,COMP 182
289,Benjamin,Ross,Senior,CIT 101
290,Joseph,Rice,Junior,COMP 182 Lab
290,Joseph,Rice,Junior,CIT 101 Lab
291,Thomas,Patterson,Junior,CIT 101
291,Thomas,Patterson,Junior,COMP 182 Lab
292,Roy,Ramirez,Senior,CIT 101 Lab
292,Roy,Ramirez,Senior,CIT 101
293,Ashley,Burton,Freshman,COMP 182
293,Ashley,Burton,Freshman,CIT 101 Lab
294,Joseph,Cox,Sophomore,COMP 182 Lab
